# 系统解剖学题库导入数据（呼吸系统+泌尿系统+男性生殖系统）
## 一、选择题（题目|选项1|选项2|选项3|选项4|选项5|答案）
### 第五章 呼吸系统
房室结是心自动节律性兴奋的发源地|错误|窦房结是心自动节律性兴奋的发源地
浆膜性心包分为壁层和脏层,其间的腔隙称为心包腔|正确|
冠状窦位于左、右心房之间的冠状沟后部|错误|冠状窦位于左心房与左心室之间的冠状沟后部
脉管系统起自组织间隙,因此说脉管系统是一个开放的管道系统|错误|脉管系统是一个封闭的管道系统，起于心室，终于心房
大动脉中膜以弹力纤维为主,中、小动脉以平滑肌为主|正确|
主动脉前庭和动脉圆锥的室壁光滑无肉柱,缺乏伸展性和收缩性|正确|
左心房腔内的肺静脉开口处无静脉瓣,心房肌围绕肺静脉起括约肌作用|正确|
主动脉窦向右心房凸起形成主动脉隆凸,是心导管手术的标志|正确|
心在发育过程中出现了沿纵轴向右的轻度旋转|错误|心在发育过程中出现了沿纵轴向左的轻度旋转
房室交点是一个规则的十字交叉点|错误|房室交点是后房间沟、后室间沟与冠状沟的交汇处，并非规则的十字交叉点
心房肌和心室肌附着于心纤维骨骼,并被其分开而不连续,故心房肌和室肌可不同时收缩|正确|
左束支在室间隔左侧的心内膜下走行,在肌性室间隔上、下1/3交界处分支|错误|左束支在室间隔左侧的心内膜下走行，在肌性室间隔中、下1/3交界处分支
心的静脉分为浅、深静脉,浅静脉大部分汇人静脉窦,深静脉则直接汇人心腔|错误|心的静脉分为浅、深静脉，浅静脉大部分汇入冠状窦，深静脉则直接汇入各心腔
冠状动脉在心的胸肋面分为右优势型、左优势型和均衡型三种类型|错误|根据冠状动脉的分布类型，可分为右优势型、左优势型和均衡型三种类型
左纤维三角位于主动脉瓣环与三尖瓣环之间,呈三角形|错误|左纤维三角位于主动脉瓣环与左房室瓣环之间，呈三角形
右心室乳头肌分为前、后、隔侧三群,发出腱索连于右房室口周围的瓣膜|正确|
心是一个中空的肌性器官,呈前后稍扁的倒置的圆锥体|正确|
