# 第四章抗体选择题题库（纯|分隔·无题号·统一格式·可直接批量导入）
## 统一格式：题干|选项A|选项B|选项C|选项D|选项E|正确答案
关于IL-2R,错误的说法是|由α、β、γ链组成|静止T细胞表达中亲和力IL-2R|活化后T细胞达高亲和力IL-2R|活化T细胞高表达IL-2R|IL-2R仅表达于T细胞|E
关于IL-2的描述,下列哪种说法是错误的|可由CD4+T分泌产生|可由CD8+T产生|是T细胞生长因子|促进NK细胞的活性|能抑制巨噬细胞的增殖|E
促使Th0细胞向Thl细胞方向分化的细胞因子是|IL-2|IL-4|IL-6|TNF-α|IFN-γ|E
促使Th0细胞向Th2细胞方向分化的细胞因子是|IL-2|IL-4|IL-6|TNF-α|IFN-γ|B
CD4+T细胞的分化方向不包括|Thl细胞|Th2细胞|Tfh细胞|Treg细胞|CTL细胞|E
在清除胞内感染中起重要作用的细胞是|Thl、Th2|Thl、CTL|Th2、CTL|Thl7、CTL|Tfh、CTL|B
Th细胞的主要功能是|调理作用|中和作用|分泌细胞因子|激活补体|释放颗粒酶|C
能促进T细胞生长的细胞因子是|IL-1|IL-2|IL-10|TNF-α|TGF-β|B
关于Thl和Th2细胞所分泌的细胞因子,下列哪种说法是错误的|Thl细胞分泌的细胞因子包括IFN-γ和TNF-α|Th2细胞分泌的细胞因子包括IL-4、IL-10|Th2细胞分泌的细胞因子可引起巨噬细胞和NK细胞活化|Thl细胞分泌的细胞因子可引起巨噬细胞和NK细胞活化|Thl细胞分泌的细胞因子能抑制Th2细胞的活性|C
关于T细胞,下列哪种说法是错误的|Thl细胞和Th2细胞均是CD4+T细胞|Thl细胞介导体液免疫|Thl细胞分泌IL-12|Th2细胞分泌IL-4|CD4+T细胞和CD8+T细胞均是表达TCR|B
关于Th17功能的说法错误的是|可通过分泌IL-17、IL-21、IL-22等细胞因子发挥效应|在固有免疫应答中发挥重要作用|参与炎症过程|参与自身免疫性疾病的病理机制|参与淋巴结生发中心B细胞向浆细胞分化|E
关于Tfh生物学功能错误的说法是|通过表达CD40L等膜分子发挥作用|通过产生IL-4和IL-21等细胞因子发挥作用|可调节记忆T细胞的功能|辅助B细胞产生抗体|参与抗体类别转换|C
表达抗原肽-MHCI类分子复合物的细胞是下列哪种细胞的特异性靶细胞|CTL|NK细胞|Thl细胞|Th2细胞|树突状细胞|A
关于CD8T细胞,下列哪种说法是错误的|可通过释放穿孔和颗粒酶溶解靶细胞|可诱导靶细胞凋亡|是HIV感染的靶细胞|通过相互作用的表面分子识别靶细胞|对靶细胞的杀伤具有特异性|C
与穿孔素具有类似功能的是|Clq|C4b2a|C3|C5|MAC|E
下列关于CTL细胞正确的是|CTL细胞无须与靶细胞接触|靶细胞被溶解时,CTL同时受损|CTL细胞具有特异性杀伤作用|穿孔素诱导靶细胞凋亡|一个CTL细胞只能杀伤一个靶细胞|C
人记忆T淋巴细胞的表面标志是|CD4|CD8|CD28|CD45RA|CD45RO|E
人初始性T淋巴细胞的表面标志是|CD4|CD8|CD28|CD45RA|CD45RO|D
下列哪种细胞是介导适应性细胞免疫应答的主要细胞|巨噬细胞|B细胞|T细胞|浆细胞|树突状细胞|C
细胞免疫可以通过下列哪种物质被动转移|胸腺细胞|致敏B细胞|效应T细胞|激活的巨噬细胞|树突状细胞|C
下列关于T细胞介导的免疫应答的说法,哪项是错误的|需APC提呈抗原|活化T细胞可在体内长期大量存活|CTL杀伤靶细胞受MHCI类限制|能形成免疫耐受|能产生免疫记忆|B
关于AICD,以下说法错误的是|是活化免疫细胞发挥免疫效应后的一种自发性细胞凋亡|Fas-FasL参与ACID过程|有助于防止自身免疫病|参与免疫耐受|导致机体免疫功能下降|E
关于AICD的错误说法是|是活化T细胞特有的生理现象|是维持免疫耐受的重要机制|是清除活化T细胞的重要机制|发生AICD后的T细胞由巨噬细胞清除|Treg的免疫抑制作用和AICD共同参与了效应T细胞的抑制的清除|A
IL-2受体γ链基因突变产生机体免疫功能缺陷,不能导致|T细胞数量减少|B细胞数量减少|T细胞免疫应答功能受损|B细胞介导体液免疫应答功能受损|T细胞发育阻滞|B
哮喘患者体内可检测到Th1/Th2失衡,而IgE又是哮喘的重要效应分子,他们之间可能的关联是|IgE导致Th1/Th2失衡|Th1/Th2比例升高,导致细胞免疫增强,IgE产生增加|Th1/Th2比例升高,导致体液免疫增强,IgE产生增加|Th1/Th2比例降低,导致细胞免疫增强,IgE产生增加|Th1/Th2比例降低,导致体液免疫增强,IgE产生增加|E
艾滋病患者体内CD4+T/CD8T比例倒置,主要原因可能是|HIV主要感染CD4+T,导致CD4+T数量减少|HIV感染CD8T,导致CD8T活化后大量增加|HIV感染CD4T,导致CD4+T大量活化后发生AICD|HIV感染导致CD4+T和CD8T活化和增殖不一致|HIV抑制CD4+T和CD8T在胸腺的发育过程|A
在肺癌患者的癌组织内检测到Treg细胞大量增加,且Treg的增加与患者的不良预后呈正相关。Treg在癌组织内主要发挥何种作用|抑制体内的自身反应性克隆,维持免疫耐受|产生免疫抑制作用,抑制体内的抗肿瘤免疫应答|分泌细胞因子,促进肿瘤生长|产生穿孔素和颗粒酶杀伤肿瘤细胞|抑制细胞免疫应答,促进体液免疫应答|B
Treg功能缺陷小鼠易发生1型糖尿病等自身免疫病,将正常小鼠的Treg过继输注给缺陷小鼠可抑制其自身免疫病的发生,可能因为|Treg调节体液免疫应答,维持外周免疫耐受|Treg调节细胞免疫应答,维持外周免疫耐受|Treg促进自身反应性T细胞AICD,维持外周免疫耐受|Treg抑制自身反应性克隆,维持外周免疫耐受|Treg促进自身反应性B细胞AICD,维持外周免疫耐受|D
有研究发现,FasL基因突变可导致某些患者发生系统性红斑狼疮,其可能机制是|FasL缺陷,不能有效诱导活化T细胞发生AICD|FasL缺陷,不能有效产生免疫记忆T细胞|FasL缺陷,不能有效产生免疫记忆B细胞|FasL缺陷,不能有效产生体液免疫应答|FasL缺陷,不能有效产生细胞免疫应答|A
针对共刺激分子PD-1的阻断性单克隆抗体已被批准上市治疗肿瘤,并取得良好疗效,其可能机制是|直接抑制肿瘤细胞的生长|直接抑制肿瘤细胞的转移|阻断肿瘤细胞的耐药机制|阻断PD-1的负性共刺激信号产生|阻断PD-1的正性共刺激信号产生|D
胰岛素依赖性糖尿病患者体内存在着自身反应性CD8+CTL,导致体内胰岛素严重不足,其可能原因是|自身反应性CD8CTL持续杀伤胰岛a细胞|自身反应性CD8+CTL持续杀伤胰岛β细胞|自身反应性CD8+CTL持续杀伤胰岛δ细胞|自身反应性CD8+CTL持续结合胰岛素|自身反应性CD8+CTL持续破坏胰岛素|B
与TCR形成复合物传递抗原信号的是|CD3|CD4|CD8|PD-1|CD28|A
提供T细胞活化共刺激信号的是|CD3|CD4|CD8|PD-1|CD28|E
具有负性调节作用的共刺激分子是|CD3|CD4|CD8|PD-1|CD28|D
特异性杀伤病毒感染的细胞是|CTL|Treg细胞|Th2细胞|Thl7细胞|Tfh|A
辅助B细胞在生发中心存活、增殖和分化的细胞是|CTL|Treg细胞|Th2细胞|Thl7细胞|Tfh|E
介导固有免疫应答的细胞是|CTL|Treg细胞|Th2细胞|Thl7细胞|Tfh|D
可形成免疫记忆细胞的是|巨噬细胞、B淋巴细胞|B淋巴细胞、T淋巴细胞|NK细胞、巨噬细胞|NK细胞、T淋巴细胞|巨噬细胞、T淋巴细胞|B
属于固有免疫应答的细胞是|巨噬细胞、B淋巴细胞|B淋巴细胞、T淋巴细胞|NK细胞、巨噬细胞|NK细胞、T淋巴细胞|巨噬细胞、T淋巴细胞|C
属于专职抗原提呈细胞的是|巨噬细胞、B淋巴细胞|B淋巴细胞、T淋巴细胞|NK细胞、巨噬细胞|NK细胞、T淋巴细胞|巨噬细胞、T淋巴细胞|A
FasL的作用是|裂解靶细胞|诱导AICD|抑制Th0向Th2分化|抑制Th0向Th1分化|促进活化T细胞增殖|B
IL-2的作用是|裂解靶细胞|诱导AICD|抑制Th0向Th2分化|抑制Th0向Th1分化|促进活化T细胞增殖|E

---

# 第十三章B淋巴细胞介导的特异性免疫应答选择题（纯|分隔·无题号·可直接导入）
## 统一格式：题干|选项A|选项B|选项C|选项D|选项E|正确答案
体外实验时,用抗μ链的抗体可活化的细胞是|T细胞|B细胞|嗜碱性粒细胞|NK细胞|嗜酸性粒细胞|B
下列哪种物质可以被动转移特异性体液免疫|TNF|抗体|IL-2|T细胞|IL-1|B
对B细胞活化共受体描述错误的是|是由CD19与CD21、CD81以非共价键形式组成的复合物|信号由CD19传向胞内可加强BCR复合物传导的信号|CD21自身不传递信号|CD21不能转导信号但可与C3d结合|CD21可与C3d结合,并转导信号|E
关于体细胞高频突变,错误的说法是|发生在抗原刺激后外周淋巴器官生发中心的B细胞|发生于已完成V基因重排的B细胞|突变的主要方式是点突变|与抗体的亲和力成熟无关|能增加抗体的多样性|D
高浓度时能多克隆激活B细胞的是|TD抗原|TI-1抗原|TI-2抗原|细菌胞壁抗原|荚膜多糖抗原|B
促进体液免疫的细胞因子是|TNF、IL-2|IL-1、IL-4|IL-10、IL-4|IL-5、IL-12|IL-2、IFN-γ|C
成熟B细胞的mIg表达模式是|IgG|IgE|IgM|IgA|IgM、IgD|E
关于TI-2抗原,下列说法错误的是|能诱导婴幼儿抗体应答|具有重复序列|无需Th细胞辅助|仅能激活成熟的B细胞|主要应答细胞是B1细胞|A
B细胞不具有的功能|抗原递呈功能|分化为浆细胞产生抗体|细胞因子分泌功能|免疫记忆功能|直接杀伤靶细胞功能|E
关于TI-1抗原错误的是|单独不可以诱导记忆性B细胞形成|诱导产生低亲和力的IgM|诱导激活抗原特异性B细胞|诱导多克隆B细胞增殖和分化|单独可以诱导抗体亲和力成熟|E
造成抗体多样性的机制不包括|重链和轻链间的组装|组合造成的多样性|连接造成的多样性|体细胞高频突变造成的多样性|抗体亲和力成熟|E
关于T细胞和B细胞介导的免疫应答,下列说法错误的是|对TD-Ag的应答需T细胞的参与|能产生效应产物|不能够分泌细胞因子|能形成免疫耐受|对TD-Ag的应答能产生记忆性细胞|C
关于TD抗原引起的体液免疫,下列哪项是错误的|不需要APC参与|浆细胞合成并分泌Ig|需要抗原刺激|B细胞活化、增殖、分化为浆细胞|Ig仅在细胞外发挥主要作用|A
对B细胞内化抗原描述错误的是|内化的抗原可经MHCII类分子途径提呈|只有产生了第一信号,B细胞才能内化抗原|内化的抗原可经MHCI类分子途径提呈|B细胞活化的第一信号是抗原与BCR结合后产生|抗原信息提呈给抗原特异性Th细胞|C
B细胞识别特异性抗原|需要细胞因子|具有MHCI类分子限制性|通过CD3传递抗原信号|具有MHCII类分子限制性|没有MHC限制性|E
细胞间相互作用不受MHC限制的是|树突状细胞与Th细胞|Th细胞与B细胞|NK细胞与靶细胞|CTL细胞与靶细胞|巨噬细胞与Th细胞|C
B细胞不表达的分子是|I类MHC抗原|CD19|C3d受体|CD2抗原|II类MHC抗原|D
对Igα/Igβ描述错误的是|通常以二聚体的形式存在|与mIg组成BCR复合物|胞浆区有ITAM|可传导B细胞第一活化信号入胞|能与抗原非特异性结合|E
CD19募集的含有SH2结构域的信号分子包括|Lyn、Fyn|Vav、Grb2|PI3-激酶|PLC-γ和cAB1|ZAP-70|E
抗体产生过程中,下列说法错误的是|TI抗原刺激B细胞产生抗体需T细胞的辅助|应答早期主要产生低亲和力的IgM|Th细胞与B细胞的相互作用受MHC限制|Ig的类别转换需要Th细胞的辅助|浆细胞是产生抗体的细胞|A
介导B细胞活化第二信号的分子对是|CD28-B7|CD40-CD40L|BCR-抗原|CD4-MHC II类分子|CD8-MHCI类分子|B
以下CD分子中与B细胞活化有关的是|CD21|CD2|CD8|CD3|CD4|A
初次应答中产生的抗体主要是|IgA|IgE|IgG|IgM|IgD|D
B细胞区别于T细胞的特征是|属于淋巴细胞|可被PWM激活|表达膜型Ig识别抗原|表达CD3分子|可分化为记忆性细胞|C
B细胞表面的抗原识别受体是|CD21|CD40|BCR|CD19|Igα/Igβ|C
对TI-1抗原描述错误的是|低浓度时激活抗原特异性B细胞|可诱导产生记忆性B细胞|高浓度时多克隆活化B细胞|又称B细胞丝裂原|诱导B细胞应答比TD抗原早|B
B细胞表面能结合C3d的分子是|MHC分子|CD19|CD81|CD21|BCR|D
关于B细胞表面同时表达的IgM和IgD,下列说法正确的是|除CH区外其余相同|具有相同的重链和不同的轻链|具有不同的CH和CL区|除VH区外其余相同|具有不同VH和VL区|A
再次免疫应答是基于|NK细胞的杀伤作用|补体激活|肥大细胞脱颗粒|巨噬细胞的吞噬作用|记忆性细胞活化|E
编码Ig重链可变区的基因片段是|DJ片段|VJ片段|V、D、J片段|C片段|S区|C
关于再次应答,下列说法错误的是|主要产生高亲和力的IgG抗体|抗体浓度增加快|抗体维持时间长|诱发再次应答所需抗原剂量大|再次应答较初次应答的潜伏期短|D
Th细胞活化静止B细胞主要靠下列哪两种分子间的相互作用|CD4和MHCII类分子|CD40L和CD40|B7和CD28|B7和CTLA-4|ICAM和LFA-1|B
BCR识别抗原产生的活化信号传导是通过|CD40|CD19|CD21|Igα和Igβ|CD81|D
免疫应答过程不包括|T、B细胞的活化、增殖、分化|B细胞在骨髓内分化成熟|B细胞对抗原的特异性识别|效应细胞产生效应分子|巨噬细胞对抗原的处理和提呈|B
B细胞介导的再次应答的强弱主要取决于|抗原的化学性质|抗原分子量大小|再次接触的抗原量|两次抗原刺激的间隔长短|抗原进入体内的方式|D
可直接调节Ig类别转换的细胞是|Th细胞|B细胞|Tc细胞|NK细胞|中性粒细胞|A
关于TI抗原描述错误的是|能刺激初始B细胞|如某些细菌多糖及脂多糖|即胸腺非依赖性抗原|能在无胸腺鼠诱导Ab应答|在正常个体可诱导Ab产生和T细胞应答|E
LPS能诱导小鼠体内抗体的产生。下列说法错误的是|能引起B细胞表面受体的交联|需要IL-4和IL-5的辅助|不能诱导记忆性细胞的产生|主要产生IgM|主要产生低亲和力抗体|B
TD抗原引起免疫应答的特点是|可形成记忆性细胞|只诱导细胞免疫应答|产生免疫应答的细胞为B1细胞|只诱导体液免疫应答|可直接诱导T、B细胞产生免疫应答|A
对TI-2抗原描述错误的是|多为细菌胞壁与荚膜多糖|抗原表位密度高可使B细胞无应答|有高度重复序列|可激活不成熟B细胞|抗原表位密度低不足以激活B细胞|D
不能诱导婴幼儿产生抗体应答的是|TI-1抗原|TI-2抗原|TD抗原|B细胞丝裂原|LPS|B
下列哪种细胞高表达CD40L|巨噬细胞|B细胞|树突状细胞|静止的T细胞|活化的CD4+T细胞|E
发生类别转换前,B细胞表达|IgA|IgG|IgE|IgM和IgD|IgG和IgD|D
关于记忆性B细胞,下列说法错误的是|合成大量Ig|接触同一抗原可迅速活化|在生发中心形成|与静息B细胞的大小相似|介导B细胞的再次免疫|A
Th细胞辅助B细胞产生抗体|可发生于经X-线照射的小鼠|依靠T细胞识别结合于BCR的完整抗原|发生在对LPS的应答过程中|经T细胞识别、B细胞处理提呈的抗原|由B细胞上的MHCI类分子提呈的抗原|D
作为抗原提呈细胞,B细胞通过下列哪种分子提供T细胞活化的第二信号|CD28|B7|CD40|CD40L|MHCII类分子|B
对TI-2抗原发生应答的主要细胞是|记忆性B细胞|前B细胞|B1细胞|不成熟B细胞|T细胞|C
在B细胞对TD抗原的应答中,Th细胞在下列哪项不发挥作用|抗体亲和力成熟|生发中心的形成|对抗原的特异性识别|B细胞的活化|Ig类别转换|C
T细胞辅助抗原特异性B细胞是在|淋巴结|黏膜|骨髓|胸腺|皮肤|A
具有免疫记忆的细胞是|肥大细胞|巨噬细胞|中性粒细胞|淋巴细胞|NK细胞|D
浆细胞|发育为B细胞|具有细胞毒作用|分泌大量IFN-γ|来源于T细胞|能分泌抗体|E
除B细胞和T细胞外,与抗体产生有关的细胞还有|巨噬细胞|嗜酸性粒细胞|嗜碱性粒细胞|肥大细胞|NK细胞|A
B细胞表面标志为|CD20|CD3|CD4|CD8|CD28|A
B细胞表面最重要的标志为|mIg|FcγR|CD40|CD5|CD80|A
B细胞活化的协同刺激分子是|CD4|CD19|CD21|CD28|CD40|E
发生子宫内感染时,新生儿血液中发现高滴度的是|IgD|IgE|IgM|IgG|IgA|C
寄生虫感染时水平显著升高的Ig是|IgM|IgG|IgA|IgD|IgE|E
能对肺炎链球菌脂多糖进行应答的细胞是|生发中心细胞|生发中心母细胞|B1细胞|浆细胞|记忆性B细胞|C
细菌脂多糖(LPS)刺激小鼠产生抗体,下列哪项是错误的|产生的抗体主要是IgM|使B淋巴细胞多克隆活化|不会诱导记忆B淋巴细胞产生|抗原经APC摄取、加工、处理后,使B淋巴细胞活化|LPS具有促有丝分裂的作用|D
再次免疫应答在医学实践中的意义是|预防接种两次以上|血清学诊断应注意鉴别非特异性回忆反应|血清学试验诊断传染病时,应以一定间隔作两次试验,进行结果的比较|用抗体或某些药物治疗时要注意过敏反应|以上全对|E
下列哪项是B细胞淋巴瘤染色体易位不涉及的基因|BCL-2|BCL-6|C-MYC|CCND1|Bim|E
多发性骨髓瘤中出现异常的细胞主要是|浆细胞|CD4+T细胞|CD8+T细胞|B1细胞|巨噬细胞|A
X连锁高IgM综合征的根本病因是|CD19缺陷|CD21缺陷|CD40缺陷|CD40L缺陷|CD81缺陷|D
Bruton病患者Btk基因缺陷导致B细胞发育停滞于|Pro-B阶段|Pre-B阶段|Immature B阶段|Mature B阶段|Plasma阶段|B
目前治疗非霍奇金淋巴瘤最有前景的药物是|抗CD2单克隆抗体|抗CD3单克隆抗体|抗CD20单克隆抗体|抗CD4单克隆抗体|抗CD28单克隆抗体|C
能诱导机体产生记忆性细胞的是|佐剂|LPS|肺炎球菌脂多糖|白喉毒素|青霉素|D
能诱导B1细胞应答的是|佐剂|LPS|肺炎球菌脂多糖|白喉毒素|青霉素|C
能与B细胞上的丝裂原受体结合的是|佐剂|LPS|肺炎球菌脂多糖|白喉毒素|青霉素|B
能诱导体细胞高频突变的是|佐剂|LPS|肺炎球菌脂多糖|白喉毒素|青霉素|D
不能刺激机体产生抗体的是|佐剂|LPS|肺炎球菌脂多糖|白喉毒素|青霉素|A
B细胞上CD40相应的配体分子是|BCR|LFA-1|CD40L|CD28|CD21|C
B细胞上B7相应的配体分子是|BCR|LFA-1|CD40L|CD28|CD21|D
B细胞上能结合特异性抗原的是|BCR|LFA-1|CD40L|CD28|CD21|A
B细胞上ICAM-1相应的配体分子是|BCR|LFA-1|CD40L|CD28|CD21|B
B细胞上C3d的受体是|BCR|LFA-1|CD40L|CD28|CD21|E
T细胞应答中抗原的摄取主要发生在|胸腺|骨髓|血液|感染部位|淋巴结|D
B细胞发育成熟的场所是|胸腺|骨髓|血液|感染部位|淋巴结|B
T细胞发育成熟的场所是|胸腺|骨髓|血液|感染部位|淋巴结|A
能形成生发中心的部位是|胸腺|骨髓|血液|感染部位|淋巴结|E
Th细胞辅助B细胞增殖、活化和分化的部位是|胸腺|骨髓|血液|感染部位|淋巴结|E
分泌抗体的细胞是|生发中心细胞|浆细胞|B1细胞|生发中心母细胞|记忆性B细胞|B
介导再次免疫应答的主要细胞是|生发中心细胞|浆细胞|B1细胞|生发中心母细胞|记忆性B细胞|E
能对肺炎球菌脂多糖进行应答的细胞是|生发中心细胞|浆细胞|B1细胞|生发中心母细胞|记忆性B细胞|C
主要分布在生发中心暗区,具有快速增殖能力的细胞是|生发中心细胞|浆细胞|B1细胞|生发中心母细胞|记忆性B细胞|D
主要分布在生发中心明区,与FDC广泛接触的细胞是|生发中心细胞|浆细胞|B1细胞|生发中心母细胞|记忆性B细胞|A
不成熟B细胞表面表达|IgE|IgD|IgG|IgA|IgM|E
能通过胎盘的是|IgE|IgD|IgG|IgA|IgM|C
初次应答产生的抗体主要是|IgE|IgD|IgG|IgA|IgM|E
参与I型超敏反应的抗体是|IgE|IgD|IgG|IgA|IgM|A
可诱导Ig类别转换成IgG2a和IgG3的是|IL-2|IL-12|IL-4|TGF-β|IFN-γ|E
可诱导Th0细胞向Th2细胞分化的是|IL-2|IL-12|IL-4|TGF-β|IFN-γ|C
可诱导Th0细胞向Th1细胞分化的是|IL-2|IL-12|IL-4|TGF-β|IFN-γ|B
可诱导Ig类别转换成Ig2b和IgA的是|IL-2|IL-12|IL-4|TGF-β|IFN-γ|D
可诱导Ig类别转换成IgG1和IgE的是|IL-2|IL-12|IL-4|TGF-β|IFN-γ|C
# 第十四章固有免疫系统及其介导的应答选择题（纯|分隔·无题号·可直接导入）
## 统一格式：题干|选项A|选项B|选项C|选项D|选项E|正确答案
来源于骨髓共同淋巴样前体的固有淋巴样细胞是|树突状细胞|巨噬细胞|NK细胞|NKT细胞|γδT细胞|C
模式识别受体中属内体膜型PRR的是|甘露糖受体|清道夫受体|NOD样受体|TLR7同源二聚体|TLR5同源二聚体|D
TLR4同源二聚体识别的病原相关模式分子是|细菌甘露糖残基|细菌脂多糖|细菌胞壁酰二肽|病毒双链RNA|病毒单链RNA|B
TLR7同源二聚体识别的病原相关模式分子是|病毒双链RNA|病毒单链RNA|细菌鞭毛蛋白|细菌非甲基化CpG DNA|细菌脂多糖|B
TLR9同源二聚体识别的病原相关模式分子是|病毒非甲基化CpG DNA|病毒单链RNA|病毒双链RNA|细菌脂蛋白|细菌肽聚糖|A
甘露糖受体识别的病原相关模式分子是|细菌脂多糖|细菌脂磷壁酸|细菌脂蛋白|细菌肽聚糖|细菌岩藻糖残基|E
能够诱导单核细胞分化发育为M1型巨噬细胞的细胞因子是|IL-4|IL-6|IL-13|IFN-γ|IL-10|D
M2型巨噬细胞合成分泌的细胞因子是|IL-4|IL-6|IFN-γ|TNF-α|TGF-β|E
巨噬细胞表面能够识别凋亡细胞磷脂酰丝氨酸的受体是|TLR4同源二聚体|清道夫受体|甘露糖受体|TLR5同源二聚体|TLR2同源二聚体|B
巨噬细胞通过表面TLR4接受细菌脂多糖刺激活化后可产生|IFN-γ|IL-1|IL-10|IL-4|TGF-β|B
兼备吞噬杀菌和抗原加工提呈作用的免疫细胞是|肥大细胞|树突状细胞|中性粒细胞|巨噬细胞|嗜酸性粒细胞|D
对巨噬细胞具有激活作用的细胞因子是|IL-4|IL-6|IFN-γ|IL-8|IL-10|C
通过分泌IL-12诱导初始T细胞向Th1细胞分化的免疫细胞是|肥大细胞|巨噬细胞|NK细胞|中性粒细胞|单核细胞|B
来源于骨髓共同淋巴样前体的免疫细胞是|经典DC|滤泡DC|浆细胞样DC|巨噬细胞|单核细胞|C
可诱导初始T细胞活化的免疫细胞是|巨噬细胞|滤泡DC|浆细胞样DC|单核细胞|经典DC|E
朗格汉斯细胞表面膜分子表达特征是|高表达模式识别受体和MHC II/I类分子|低表达模式识别受体和MHC II/I类分子|低表达模式识别受体,高表达MHCII/I类分子|高表达模式识别受体,低表达MHC II/I类分子|只表达模式识别受体,不表达MHCII/I类分子|D
浆细胞样DC的主要生物学作用是|摄取加工提呈抗原激活初始T细胞|通过表面TLR4接受细菌脂多糖刺激产生促炎细胞因子|通过表面IgGFc受体识别结合抗原抗体复合物介导产生调理作用|通过内体膜上TLR9接受病毒双链RNA刺激产生I型干扰素|通过内体膜上TLR7接受病毒单链RNA刺激产生I型干扰素|E
没有吞噬或抗原加工提呈作用的免疫细胞是|中性粒细胞|滤泡DC|经典DC|巨噬细胞|单核细胞|B
中性粒细胞具有而巨噬细胞所不具备的杀菌系统是|氧依赖杀菌系统|氧非依赖杀菌系统|反应性氧中间物系统|反应性氮中间物系统|髓过氧化物酶杀菌系统|E
对中性粒细胞具有招募作用的趋化因子是|CXCL8(IL-8)|MCP-1(CCL2)|MIP-1α(CCL3)|MIP-1β(CCL4)|CCL11(eotaxin)|A
对嗜酸性粒细胞具有招募作用的趋化因子是|MCP-1(CCL2)|MIP-1β(CCL4)|CCL11(eotaxin)|CXCL8(IL-8)|MIP-1α(CCL3)|C
通过释放细胞毒性介质毒杀寄生虫的免疫细胞是|中性粒细胞|单核细胞|肥大细胞|嗜酸性粒细胞|嗜碱性粒细胞|D
存在于黏膜结缔组织中表面具有FcεRI的免疫细胞是|肥大细胞|嗜酸性粒细胞|嗜碱性粒细胞|中性粒细胞|单核细胞|A
接受刺激后能够产生趋化因子CCL11的细胞是|嗜酸性粒细胞|嗜碱性粒细胞|肥大细胞|单核细胞|黏膜上皮细胞|E
不表达特异性/泛特异性抗原受体的免疫细胞是|αβT细胞|γδT细胞|NKT细胞|NK细胞|B1细胞|D
发育分化依赖于IL-7和转录因子Gata3的免疫细胞是|Th2细胞|ILC1|ILC2|ILC3|Th1细胞|C
外周血白细胞中数量最多的是|NKT细胞|γδT细胞|中性粒细胞|嗜酸性粒细胞|嗜碱性粒细胞|C
能够诱导ILC1活化的细胞因子是|IL-1β、IL-23|IL-12、IL-18|IL-25、IL-33|IL-4、IL-13|IL-22、IL-17|B
活化ILC2释放的细胞因子是|IL-25、IL-33|IL-1β、IL-23|IL-22、IL-17|IL-4、IL-13|IL-12、IL-18|D
NK细胞表面具有鉴别意义的标志是|CD3⁻CD19⁻CD56⁺CD16⁺|CD3⁺CD19⁻CD4⁺CD25⁺|CD3⁺CD19⁻CD8⁺CD25⁺|CD3⁻CD19⁻mIgM⁺CD5⁺|CD3⁻CD19⁻CD14⁺CD16⁺|A
NK细胞表面能够识别MHCI类分子的杀伤抑制受体是|KIR2D|NKG2D|NKp30|KIR2DL|CD94/NKG2C|D
NK细胞表面能与乳腺癌细胞表面MICA/B分子结合的受体是|KIR2D|NKG2D|NKp30|CD94/NKG2A|KIR3DL|B
NKT细胞表面TCR识别结合的配体是|肿瘤细胞表面MHCI类链相关分子(MIC A/B)|流感病毒感染细胞表面的流感病毒血凝素|肿瘤细胞表面CD1分子提呈的磷脂/糖脂类抗原|抗原提呈细胞表面抗原肽-MHCII分子复合物|抗原提呈细胞表面抗原肽-MHCI分子复合物|C
γδT细胞表面TCR不能识别结合的配体是|某些肿瘤细胞表面MHC A/B分子|某些病毒感染细胞表面的病毒蛋白|肿瘤细胞表面CD1分子提呈的磷脂/糖脂类抗原|感染细胞表达的热休克蛋白|抗原提呈细胞表面抗原肽-MHC分子复合物|E
具有自我更新能力的免疫细胞是|B1细胞|γδT细胞|NK细胞|B2细胞|NKT细胞|A
B1细胞接受多糖抗原刺激后产生抗体的时间约为|96小时|72小时|48小时|24小时|12小时|C
B1细胞接受多糖抗原刺激后可产生|以IgM为主的高亲和力抗体|以IgM为主的低亲和力抗体|以IgG为主的低亲和力抗体|以IgG为主的高亲和力抗体|IgM和IgG两种抗体|B
早期诱导的固有免疫应答发生于感染后|0~4小时|0~8小时|8~96小时|4~96小时|4~48小时|D
在即刻固有免疫应答阶段发挥抗感染作用的免疫细胞是|单核细胞|中性粒细胞|肥大细胞|巨噬细胞|NK细胞|B
固有免疫细胞所不具备的特征是|通过趋化募集迅速发挥免疫效应|通过克隆选择迅速发挥免疫效应|通常没有免疫记忆功能|不表达特异性抗原识别受体|表面模式识别受体或泛特异性抗原受体较少多样性|B
在即刻固有免疫阶段发挥作用的免疫分子是|补体经典途径相关分子|补体凝集素途径相关分子|补体旁路途径相关分子|甘露糖结合凝集素|C反应蛋白|C
具有ADCC效应的免疫细胞是|γδT细胞|NKT细胞|NK细胞|肥大细胞|单核细胞|C
可被微环境中相关细胞因子直接激活的免疫细胞是|γδT细胞|NKT细胞|肥大细胞|ILC1|B1细胞|D
在过敏性炎症反应中发挥重要作用的免疫细胞是|中性粒细胞|肥大细胞|NK细胞|巨噬细胞|γδT细胞|B
参与抗胞外寄生虫感染或过敏性炎症反应的免疫细胞是|中性粒细胞|巨噬细胞|ILC1|ILC3|ILC2|E
中性粒细胞存活时间约为|48小时|12~24小时|0~4小时|2~3天|4天(96小时)|B
单核细胞在血液中停留时间约为|48小时|12~24小时|0~4小时|2~3天|4天(96小时)|D
B1细胞接受抗原刺激后产生抗体的时间约为|48小时|12~24小时|0~4小时|2~3天|4天(96小时)|A
