以下为**纯单行分隔符格式**的所有单选题（原文档无判断题和多选题），采用**【题目||选项A||选项B||选项C||选项D||选项E||正确答案】** 标准格式，无任何多余格式和换行，可直接复制粘贴导入绝大多数游戏题库系统。所有B1型共用备选答案题已转换为独立题目，每个题目自带完整选项。
女性，25岁，已婚。最近发现阴道分泌物增多，呈淡黄色，污秽裤裆，取白带镜检发现白细胞较多，淋球菌培养为阴性，沙眼衣原体DNA检测为阴性。取尿沉渣进行支原体培养，能分解精氨酸，但不能分解尿素，在固体培养基能长出"荷包蛋"样菌落。该患者最可能的病原体是||生殖支原体||人型支原体||解脲脲原体||穿透支原体||肺炎支原体||B
患儿，7岁，咽痛，干咳，发热3天，体温39°C，胸痛明显。右肺呼吸音低，无啰音。白细胞9.0×10⁹/L，中性粒细胞65%，X线检查显示左下肺薄片状阴影，冷凝集试验结果呈阳性。该患儿最可能的诊断是||腺病毒肺炎||呼吸道合胞病毒肺炎||肺炎支原体肺炎||金黄色葡萄球菌肺炎||肺炎链球菌肺炎||C
患者，女性，30岁，阴道瘙痒，白带增多有异味，呈性，宫颈黏膜水肿。淋球菌检测为阴性，且CT DNA检测为阴性。怀疑是支原体感染，取宫分泌物接种于支原体培养，不能分解精氨酸和尿素，转种于固体培养基培养3~5天后，用低倍显微镜观察到"荷包蛋"样菌落。引起该病的病原体最可能是||生殖支原体||人型支原体||解脲脲原体||微小脲原体||发酵支原体||A
患儿，5岁，近4天出现发热，伴阵发性咳嗽，少痰，不易咳出，曾口服阿莫西林治疗无效。患儿偶喘，无呼吸困难，无盗汗，无心悸，大小便正常。肺部X线检查可见双侧肺下页模糊云雾状或均匀一致的阴影，近肺门部较致密，向外逐渐变浅，边缘不清楚。肺炎支原体抗体滴度为1:320；初步诊断为肺炎支原体肺炎。请问，不能用于该患儿治疗的抗生素是||阿奇霉素||罗红霉素||交沙霉素||氯霉素||头孢曲松||E
患儿，女，11岁，无反复呼吸道感染史，入院1周前受凉后发热，体温最高39.3°C。伴有阵发性刺激性咳嗽，少痰，不易咳出，咽部稍红，右肺呼吸音减低，肺部CT检查：右肺上叶及下叶见大片状密度增高影，密度欠均，边界欠清，气管及纵隔略右移，右侧胸腔见条形液性密度影，纵隔内见肿大的淋巴结影，右侧胸腔少量积液。实验室检查：支原体IgM抗体(+)。白细胞数目为4.4×10⁹/L，该患者最可能感染的病原体是||肺炎衣原体||肺炎链球菌||肺炎克雷伯菌||肺炎支原体||嗜肺军团菌||D
在支原体表面起抗吞噬作用的致病物质是||顶端结构||脂多糖||神经毒素||肽聚糖||荚膜||E
支原体的致病物质中可发挥定植作用的是||顶端结构||脂多糖||神经毒素||肽聚糖||荚膜||A
阳性率为50%的非特异性反应的试验是||冷凝集试验||生长抑制试验||代谢抑制试验||ELISA||PCR||A
应用含有葡萄糖、特异性抗体和酚红的培养基诊断支原体的试验是||冷凝集试验||生长抑制试验||代谢抑制试验||ELISA||PCR||C
常感染AIDS患者的条件致病性微生物是||肺炎支原体||人型支原体||脲原体||穿透支原体||生殖支原体||C
可引起间质性肺炎的是||肺炎支原体||人型支原体||脲原体||穿透支原体||生殖支原体||A

### 第十九章 立克次体
关于立克次体，叙述不正确的是||为革兰阴性小杆菌||专性细胞内寄生||大多是人畜共患病原体||以节肢动物为传播媒介||对抗生素不敏感||E
立克次体与病毒的共同特点是||含有DNA和RNA两种核酸||无细胞壁及细胞膜||以节肢动物为传播媒介||严格活细胞内寄生||对抗生素不敏感||D
立克次体与细菌的主要区别是||有细胞壁和核糖体||含有DNA和RNA两种核酸||严格活细胞内寄生||以二分裂方式繁殖||对抗生素敏感||C
辅助诊断立克次体病的交叉凝集试验是||反向间接血凝试验||正向间接血凝试验||冷凝集试验||锡克试验||外斐反应||E
观察立克次体常用的染色法是||Giemsa染色法||抗酸染色法||革兰染色法||棉蓝染色法||墨汁负染法||A
与立克次体有共同抗原成分的细菌是||志贺菌||埃希菌||假单胞菌||变形杆菌||产碱杆菌||D
立克次体内毒素的化学本质是||脂多糖||蛋白质||脂质||多糖||多肽||A
斑疹伤寒立克次体的储存宿主与传染源是||恙螨||蜱||鼠蚤||鼠||鼠虱||D
地方性斑疹伤寒的主要传播媒介是||蜱||蚊||鼠蚤||恙螨||白蛉||C
普氏立克次体的传播媒介是||蜱||蚊||鼠蚤||蝇||人虱||E
不属于动物源性疾病的是||地方性斑疹伤寒||流行性斑疹伤寒||炭疽病||波浪热||恙虫病||B
立克次体属的主要致病物质是||内毒素和外毒素||外毒素和脂多糖||内毒素和磷脂酶A||荚膜和鞭毛||血浆凝固酶和α溶素||C
外斐反应结果为OXₖ(++++)、OX₁₉(-)、OX₂(-)，诊断为||地方性斑疹伤寒||流行性斑疹伤寒||莱姆病||猫爪热||恙虫病||E
预防恙虫病最重要的是||接种疫苗||灭鼠、灭螨||灭鼠、灭蚊||注射抗生素||口服抗生素||B
治疗立克次体病首选的抗微生物药物是||青霉素||四环素||金刚烷胺||利巴韦林||两性霉素||B
某女性患者，自述夜间长期寄宿于某天桥下。因高热，剧烈头疼，呼吸困难，肌痛伴全身点状皮疹2天入院。护理时于患者头发及衣物内发现数只体虱。医治无效，患者于入院后72小时死亡，从患者体内分离到革兰染色染为浅红色，Gimenez染色染为鲜红色短杆菌，该患者感染的病原体是||普氏立克次体||斑疹伤寒立克次体||恙虫病东方体||立氏立克次体||康诺尔立克次体||A
某男性患者，因反复发热8天，伴呼吸困难2天入院。有丛林接触史，腿部皮肤被叮咬。右大腿内侧可见皮损处有黑色焦痂，右腹股沟淋巴结肿大。血清外斐反应OXₖ效价为1:640。该患者感染的病原体是||普氏立克次体||斑疹伤寒立克次体||恙虫病东方体||查菲埃里希体||嗜吞噬细胞无形体||C
鼠型斑疹伤寒的病原体是||普氏立克次体||斑疹伤寒立克次体||恙虫病东方体||查菲埃里希体||嗜吞噬细胞无形体||B
感染的靶细胞主要为单核细胞和巨噬细胞的是||普氏立克次体||斑疹伤寒立克次体||恙虫病东方体||查菲埃里希体||嗜吞噬细胞无形体||D
主要寄生在中性粒细胞的是||普氏立克次体||斑疹伤寒立克次体||恙虫病东方体||查菲埃里希体||嗜吞噬细胞无形体||E
虱传斑疹伤寒的传染源是||病人||啮齿动物||硬蜱||人虱||鼠蚤||A
恙虫病的传染源是||病人||啮齿动物||硬蜱||人虱||鼠蚤||B
嗜吞噬细胞无形体的传播媒介是||病人||啮齿动物||硬蜱||人虱||鼠蚤||C
查菲埃里希体的传播媒介是||病人||啮齿动物||硬蜱||人虱||鼠蚤||C

### 第二十章 衣原体
衣原体与病毒的相同点是||含有RNA和DNA||有核糖体||严格活胞内寄生||二分裂方式繁殖||对抗生素敏感||C
衣原体与细菌的不同点是||有胞壁||含有RNA和DNA||二分裂紧殖方式||对抗生素敏感||在无生命培养基上不生长||E
首先成功分离培养出沙眼衣原体的学者是||汤飞凡||郭霍||巴斯德||李斯特||琴纳||A
具有独特发育周期的病原体是||支原体||衣原体||立克次体||螺旋体||巴兴小体||B
有关衣原体的描述不正确的是||衣原体对低温抵抗力强，-70°C可保存数年||衣原体对热敏感，50~60°C仅能存活5~16分钟||衣原体对四环素与红霉素敏感||衣原体对0.5%苯酚和75%乙醇敏感||以干热灭菌方式处理衣原体仍有感染性||E
不能用于衣原体培养的是||鸡胚卵黄囊||Vero细胞||HeLa细胞||血琼脂平板||McCoy细胞||D
下列可经性接触传播的病原体是||沙眼衣原体||肺炎衣原体||鹦鹉热衣原体||钩端螺旋体||普氏立克次体||A
关于肺炎衣原体的致病性，下列叙述不正确的是||只寄生于人类，无动物储存宿主||经呼吸道传播||大多数感染表现为亚临床型||其抗体的存在与冠心病和心肌梗死密切相关||除引起肺炎外，还可引起泌尿生殖道感染||E
关于沙眼衣原体沙眼生物型致病性和免疫性叙述不正确的是||主要寄生于人类，无动动物储存宿主||以体液免疫为主||其传播方式是眼-眼及眼-手-眼||是沙眼的病原体||病后免疫力不强，可反复感染||B
人畜共患的病原体是||霍乱弧菌||鹦鹉热衣原体||风疹病毒||肺炎衣原体||沙眼衣原体||B
-27岁男子，因尿频、尿痛、尿道口有黄绿色脓性分泌物入院。取脓性分物涂片镜检未发现明显病原菌，该男子最有可能感染的病原菌是||淋病奈瑟菌||沙眼衣原体血清型A、B、Ba或C||梅毒螺旋体||沙眼衣原体血清型D-K||沙眼衣原体血清型L1、L2或L3||D
出生后10天新生儿，因眼睑水肿，有脓性分泌物就诊，检查发现患儿眼睑结膜弥漫性红肿，球结膜炎症性乳头状增生，初步诊断为新生儿化脓性结膜炎，涂片革兰染色未见革兰阴性双球菌，眼结膜刮片示多核白细胞增多，碘染色直接镜检发现包涵体。该患儿最可能的诊断结果是||淋球菌感染||沙眼衣原体感染||梅毒螺旋体感染||腺病毒感染||肠道病毒感染||B
一患者因断续性咳嗽2周就医，临床诊断为衣原体肺炎，以下临床特点正确的是||6个月内婴幼儿比较多见||高热||起病急||肺实变体征||青霉素有特效||A
12周龄新生儿，断续性咳嗽2周，伴有鼻塞、流涕入院，患儿无发热，呼吸急促，可闻及湿啰音。医生初步诊断为沙眼衣原体肺炎，为确诊有无沙眼衣原体感染，目前临床最常用的检查是||分离培养法||分泌物涂片找包涵体||PCR(核酸检测)||沙眼衣原体抗原检测法||血清抗体检测法||D
患者，男，36岁，鸟语林工作人员，突发高热达40°C，剧烈头痛，伴恶心呕吐入院。体检咽部充血疼痛，伴咳嗽，肺部听诊有湿啰音。胸部X线摄片可见支气管炎型的肺浸润灶，以下叶为多，初步诊断为间质性肺炎。该患者最可能感染的病原体是||肺炎支原体||肺炎衣原体||沙眼衣原体血清型D~K||鹦鹉热衣原体||沙眼衣原体血清型A、B、Ba、C||D
某小学学生体检发现，许多学生视力减退，有些学生常流泪、少数眼角有黏液性分泌物、多数同学有结膜充血及滤泡增生。个别同学出现结膜瘢痕、眼睑内翻、睫毛倒睫等损害。这些小学生最可能感染的病原体是||肺炎支原体||鹦鹉热衣原体||肺炎衣原体||沙眼衣原体沙眼生物型||沙眼衣原体生殖生物型||D
患者，女，22岁。结婚2年余始终未受孕。白带量增多，色微黄，无明显异味。偶有外阴瘙痒及尿频、尿急、尿痛。妇科检查：宫颈轻度糜烂伴少许脓性分泌物。实验室检查：血常规正常。尿常规：WBC12/HP。EIA检测宫颈拭子及宫颈拭子培养沙眼衣原体阳性。以下不能用于治疗该感染的药物是||罗红霉素||四环素||青霉素||多西环素||阿奇霉素||C
男性，30岁，近期出现尿黄、尿道口微红、尿频，偶尔尿道痛，烧灼感，腰酸、下腹部隐胀痛，性功能明显减退；取前列腺液涂片镜检可见有包涵体。给予多西环素治疗，患者症状明显改善。该患者最可能感染的病原体是||解脲脲原体||人型支原体||肺炎衣原体||鹦鹉热衣原体||沙眼衣原体||E
患者，29岁，男性，2天前开始出现尿痛，伴有灼热感，尿道口出现浆液性分泌物。患者曾于4周前未采取保护措施与一新的女性伴侣发生性关系。涂片镜检可见50%中性粒细胞和50%单核白细胞，未见任何微生物。引起该患者尿道炎的病原体最有可能是||淋球菌||肺炎支原体||沙眼衣原体||阴道毛滴虫||人型支原体||C
女性患儿，10岁，视力减退，双眼反复发作瘙痒，有异物感1年余。体查：结膜血管模糊充血，乳头增生和滤泡形成，上睑板部上缘和内、外眦部较多，上眼睑结膜、上穹窿部出现瘢痕。初步诊断为衣原体感染，其主要传播途径是||性接触||粪-口途径||血源性传播||呼吸道传播||眼-眼或眼-手-眼||E
可引起沙眼的病原体是||沙眼衣原体||兽类衣原体||肺炎衣原体||鹦鹉热衣原体||肺炎支原体||A
与冠心病、动脉粥样硬化等慢性病发生密切相关的是||沙眼衣原体||兽类衣原体||肺炎衣原体||鹦鹉热衣原体||肺炎支原体||C
肺炎衣原体的自然宿主是||人||禽类和低等哺乳动物||牛和羊||昆虫||猪||A
鹦鹉热衣原体的自然宿主是||人||禽类和低等哺乳动物||牛和羊||昆虫||猪||B
衣原体的两种形态中具有繁殖能力的是||原体||网状体||脲原体||包涵体||内基小体||B
沙眼急性期患者取结膜刮片Giemsa染色镜检观察胞浆内是否存在||原体||网状体||脲原体||包涵体||内基小体||D

### 第二十一章 螺旋体
螺旋体常用的染色方法是||革兰染色法||抗酸染色法||阿培脱染色法||吉姆萨染色法||镀银染色法||E
钩端螺旋体主要的感染途径是||接触病人或病兽||接触疫水或疫土||经呼吸道感染||经消化道感染||经节肢动物叮咬||B
引起人类梅毒的病原体是||钩端螺旋体||苍白密螺旋体||伯氏疏螺旋体||雅司螺旋体||回归热疏螺旋体||B
引起人类莱姆病的病原体是||钩端螺旋体||苍白密螺旋体||伯氏疏螺旋体||雅司螺旋体||回归热疏螺旋体||C
培养钩端螺旋体的培养基为||肉汤培养基||哥伦比亚培养基||布氏培养基||Korthof培养基||牛心脑浸液培养基||D
传播莱姆病的节肢动物是||蚊||蚤||蜱||蛉||虱||C
传播流行性回归热的节肢动物是||蚊||蚤||蜱||蛉||虱||E
传播地方性回归热的节肢动物是||蚊||蚤||蜱||蛉||虱||B
体外培养钩端螺旋体最合适的温度是||25°C||28°C||35°C||37°C||56°C||B
临床治疗钩端螺旋体病的抗生素主要是||磺胺类||青霉素类||头孢菌素||链霉素||四环素||B
不能在无生命培养基中生长的螺旋体是||钩端螺旋体||梅毒螺旋体||伯氏疏螺旋体||奋森疏螺旋体||回归热螺旋体||B
第一期梅毒的典型临床体征是||硬下疳||梅毒疹||树胶肿||脊髓痨||全身麻痹||A
第二期梅毒的典型临床体征是||硬下疳||梅毒疹||树胶肿||脊髓痨||全身麻痹||B
第三期梅毒的典型临床体征是||硬下疳||梅毒疹||树胶肿||脊髓痨||全身麻痹||C
诊断钩端螺旋体病最为常用的血清学检查方法为||肥达试验||外斐试验||补体结合试验||显微镜凝集试验||玻片凝集试验||D
用于梅毒病人初筛的常用实验室方法是||RPR||TPHA||FTA-ABS||TPI||捕获ELISA||A
用于梅毒病人确诊的常用实验室方法是||RPR||TPHA||FTA-ABS||TPI||捕获ELISA||B
莱姆病典型的早期临床体征是||树胶肿||慢性关节炎||移行性红斑||萎缩性肌皮炎||化脓性皮疹||C
川北山区成年男性农民，夏收夏种后出现发热、头晕与头痛等症状。体温39.0°C，眼结膜充血、有轻微黄疸，腓肠肌有明显压痛，肝脾触诊正常，白细胞15000/m³。该病人最可能的诊断是||钩端螺旋体病||感冒||肝炎||莱姆病||回归热||A
成年男性私营业主。主诉小便不适，阴茎冠状沟皮下有软骨样硬块及溃疡。该硬块直径约1.1cm，表面有渗出物并发生溃疡，无压痛，无活动性，体温36.9°C。该病人最可能的诊断是||性病淋巴肉芽肿||皮下软组织结核||淋病||莱姆病||梅毒||E
东北某地成年男性林场职工春季植树后主诉发热、头痛、肌肉及关节疼痛。体温38.5°C，左背皮肤有暗红色椭圆形斑块，直径约18cm，中央颜色较深，腋下淋巴结肿大，肝脾触诊正常，白细胞8500/m³。该病人最可能的诊断是||钩端螺旋体病||风湿性关节炎||感冒||莱姆病||回归热||D
# 第二十二章 病毒的基本性状
测量病毒大小通常是用||m||cm||mm||m||nm||E
可直接测量病毒体大小的方法是||电镜观察法||光镜观察法||X线衍射法||超速离心法||超过滤法||A
对病毒生物学性状的描述,不正确的是||对抗生素不敏感,对干扰素敏感||含有DNA和RNA两种核酸||以复制方式增殖||必须寄生于活细胞内||属于非细胞型微生物||B
在生物学性状上病毒与衣原体共同具有的特点是||只有一种核酸||非细胞结构||严格细胞内寄生||对抗生素敏感||以复制方式繁殖||C
能代表病毒体的一种结构成分是||核酸||衣壳||核衣壳||包膜||刺突||C
病毒的增殖方式是||复制||裂殖||二分裂||芽生||分泌||A
关于病毒的描述正确的是||病毒能侵害动植物||病毒可产生类毒素||病毒对抗生素敏感||病毒不具有免疫原性||抗病毒药物种类多、效果好、副作用小、价格低||A
病毒的感染性核酸指的是||双链DNA||单链RNA||去除包膜的病毒核酸||去除衣壳的病毒核酸||去除衣壳仍能进入宿主细胞引起感染的游离核酸||E
核酸的特点是||容易被细胞摄取||不易被细胞外面的体液及细胞膜上的核酸酶降解||感染性强于病毒体||感染的宿主范围比病毒体广||感染性核酸不能进入宿主细胞||D
裸露病毒体的结构是||核酸+包膜||核心+衣壳+包膜||核衣壳+刺突||核心+衣壳||核酸+蛋白质||D
关于病毒包膜的叙述,不正确的是||主要来源于宿主细胞膜||具有保护病毒的作用||化学成分为脂类、蛋白质和多糖||破坏包膜可使病毒失去感染性||表面突起称为壳粒||E
判断病毒有无包膜的依据是||是否出现细胞病变||对脂溶剂是否敏感||对温度抵抗力不同||超速离心沉降速度不同||对苯酚是否敏感||B
与病毒衣壳功能无关的是||介导病毒体吸附易感细胞受体||保护病毒核酸||病毒分类、鉴定的依据||本身具有传染性||构成病毒特异性抗原||D
哪项不是包膜病毒所具有的特点||对脂溶剂敏感||出芽增殖||能在肠道黏膜细胞中生长繁殖||含有宿主细胞的化学成分||有包膜病毒电镜下常呈多形态性||C
病毒复制周期中,不正确的一个环节是||吸附||穿入||脱壳||生物合成||分裂||E
关于正链RNA病毒,下列描述正确的是||病毒的RNA只能携带部分遗传信息||病毒的RNA需经转录方能作为mRNA||病毒的RNA可直接作为mRNA翻译病毒蛋白||病毒的RNA G+C含量高||以上都不是||C
病毒的遗传信息从RNA转移到DNA的过程被称为||转导作用||转化作用||逆转录||重组||翻译||C
缺陷病毒的本质是指||包膜表面缺少刺突||缺少衣壳||病毒的酶有缺损||基因组缺损||复制周期不完整||D
可将自身基因组与宿主细胞基因组整合的病毒是||ss(-)RNA病毒||ssDNA病毒||dsRNA病毒||ss(+)RNA病毒||逆转录病毒||E
复制过程可形成RNA-DNA杂合中间体的是||流感病毒||麻疹病毒||腺病毒||乙肝病毒||疱疹病毒||D
属于病毒基因突变的是||交叉复活||互补作用||温度敏感性变异||干扰现象||表型混合||C
不属于病毒遗传性变异的是||温度敏感性变异||表型混合||缺陷型干扰突变||基因重组||交叉复活||B
易发生基因重配的病毒是||DNA病毒||RNA病毒||包膜病毒||肿瘤相关病毒||基因组分节段的病毒||E
灭活是指在理化因素作用下使病毒失去||免疫原性||血凝特性||诱生干扰素的能力||感染性||融合细胞特性||D
灭活病毒无效的因素是||温度||乙醚||青霉素||氯仿||紫外线||C
流感病毒属于||正黏病毒科||副黏病毒科||小RNA病毒科||痘病毒科||逆转录病毒科||A
脊髓灰质炎病毒属于||正黏病毒科||副黏病毒科||小RNA病毒科||痘病毒科||逆转录病毒科||C
人类免疫缺陷病毒属于||正黏病毒科||副黏病毒科||小RNA病毒科||痘病毒科||逆转录病毒科||E
腮腺炎病毒属于||正黏病毒科||副黏病毒科||小RNA病毒科||痘病毒科||逆转录病毒科||B
病毒基因组属于分节段的单负链RNA病毒是||脊髓灰质炎病毒||流感病毒||乙型肝炎病毒||麻疹病毒||轮状病毒||B
病毒基因组属于分节段的双链RNA病毒是||脊髓灰质炎病毒||流感病毒||乙型肝炎病毒||麻疹病毒||轮状病毒||E
病毒基因组属于不分节段的单负链RNA病毒是||脊髓灰质炎病毒||流感病毒||乙型肝炎病毒||麻疹病毒||轮状病毒||D
病毒基因组属于不分节段的单正链RNA病毒是||脊髓灰质炎病毒||流感病毒||乙型肝炎病毒||麻疹病毒||轮状病毒||A

# 第二十三章 病毒的感染与免疫
病毒垂直传播主要是经||胎盘||蚊子叮咬||吸入||皮肤损伤||以上都不是||A
病毒垂直感染的正确概念是||在公共场所被病毒感染||通过性接触而发生病毒感染||父亲患病毒病传给其子女的病毒感染||母亲患病毒病传给其子女的病毒感染||母体内病毒经胎盘或产道传给胎儿的病毒感染||E
可经垂直感染导致胎儿畸形的病毒是||麻疹病毒||风疹病毒||流感病毒||乙脑病毒||甲肝病毒||B
不能经垂直传播的病毒是||风疹病毒||巨细胞病毒||乙型肝炎病毒||单纯疱疹病毒||脊髓灰质炎病毒||E
主要不是经输血传播的病毒是||乙型肝炎病毒||人免疫缺陷病毒||乙型脑炎病毒||丙型肝炎病毒||巨细胞病毒||C
细胞受病毒感染后于胞浆或(和)核内可形成一种具有诊断意义的物质||质粒||中介体||包涵体||核糖体||溶酶体||C
以下病毒感染中,包涵体有诊断价值的是||EB病毒||巨细胞病毒||单纯疱疹病毒||流感病毒||脊髓灰质炎病毒||B
内基小体(Negri小体)可用于辅助诊断的疾病是||腺病毒感染||鹦鹉热||麻疹||狂犬病||疱疹||D
关于病毒感染,不正确的是||急性病毒感染后机体一般不能清除病毒||多数人对多数病毒表现为隐性感染||持续性病毒感染者长期带病毒||病毒携带者可成为重要传染源||隐性感染者机体可获得免疫力||A
哪项不是病毒感染对宿主细胞的直接作用||杀细胞感染||细胞融合||整合感染||形成包涵体||继发感染||E
影响病毒致病作用的因素,错误的是||病毒对组织器官的亲嗜性||病毒对宿主细胞的杀伤作用||病毒引起的免疫性病理损伤||机体接受抗生素的剂量与种类||机体对病毒的免疫力||D
在病毒的致病机制中,除病毒对宿主细胞的直接作用外,还有||病毒感染诱发的免疫病理作用||致细胞病变作用||细胞转化||细胞融合||包涵体形成||A
宿主细胞受病毒感染和被杀伤的机制中错误的是||在补体参与下溶解靶细胞||中和抗体直接溶解靶细胞||CTL直接杀伤靶细胞||淋巴因子直接或间接作用与靶细胞||ADCC机制杀伤靶细胞||B
潜伏性病毒感染的特点是在间歇期||可以分离出病毒||不能分离出病毒||不产生抗体||可以分离出病毒但测不出抗体||不能分离出病毒但能测出抗体||E
易发生潜伏感染的病毒是||乙型脑炎病毒||乙型肝炎病毒||流感病毒||水痘带状疱疹病毒||脊髓灰质炎病毒||D
病毒入侵机体后最早产生的有免疫调节作用的物质是||sIgA||中和抗体||补体结合抗体||干扰素||T杀伤细胞||D
在感染早期,能非特异杀伤病毒感染细胞的免疫因素是||B细胞||巨噬细胞||NK细胞||Th1细胞||CTL||C
关于干扰素的描述,正确的是||病毒基因编码的抗原||病毒化学治疗剂||病毒感染后,由宿主免疫活性细胞产生的球蛋白||宿主细胞受病毒感染后、结构基因活化后产生的一种糖蛋白||病毒复制所产生的衣壳抗原||D
干扰素的抗病毒作用||无种属特异性,无病毒特异性||有种属特异性,有病毒特异性||有种属特异性,无病毒特异性||无种属特异性,有病毒特异性||以上都不对||C
干扰素抗病毒的机制是||直接干扰病毒mRNA的转译||阻碍病毒进入易感细胞||干扰病毒吸附||诱发细胞产生抗病毒蛋白||直接杀病毒作用||D
关于干扰素抗病毒机制的叙述,错误的是||干扰素必须与细胞表面的受体结合,才能发挥作用||干扰素必须进入细胞内,才能发挥作用||细胞内基因需要被激活后才能产生抗病毒蛋白||2'-5'A合成酶导致病毒mRNA的降解||蛋白激酶抑制病毒多肽链的合成||B
IFN-α主要的生物学活性是||抗病毒作用||抗肿瘤作用||激活巨噬细胞||活化NK细胞||活化T细胞||A
应用干扰素诱生剂治疗病毒性疾病的主要缺点是||合成困难||诱生干扰素量少||具有抗原性||反复使用可产生耐受及毒性||不能注射||D
关于隐性感染,错误的是||可获得免疫力||病毒感染中极少见||又称亚临床感染||可造成组织细胞损伤||可作为传染源||B
抗病毒免疫对游离病毒起直接作用的是||NK细胞||淋巴因子||干扰素||中和抗体||补体结合性抗体||D
病毒中和抗体是指||能中和毒素毒性作用的抗体||针对病毒体某些表面抗原的抗体||针对病毒体内部抗原的抗体||针对细胞受体的抗体||针对病毒神经氨酸酶的抗体||B
病毒中和抗体的主要作用是||直接杀伤病毒||阻止病毒吸附||阻止病毒脱壳||阻止病毒核酸转录||阻止病毒释放||B
病毒感染后,机体会产生多种免疫球蛋白,其中能作为早期感染指标而具有诊断价值的一种是||IgG||IgM||IgE||IgA||IgD||B
防止病毒血行扩散的最有效免疫物质是||sIgA||IgA||IgG||干扰素||补体||C
终止细胞内病毒感染的主要免疫因素是||中和抗体||NK细胞||巨噬细胞||CD4+ Th1细胞||CD8+CTL||E
不易形成病毒血症的病毒是||轮状病毒||麻疹病毒||风疹病毒||腮腺炎病毒||脊髓灰质炎病毒||A
在以下病毒感染中,机体血清中虽有特异性抗体,但仍可发病的是||脊髓灰质炎病毒感染||单纯疱疹病毒感染||甲型肝炎病毒感染||流感病毒感染||柯萨奇病毒感染||B
下列病毒感染后,不能获得牢固免疫的一种是||甲型肝炎病毒||乙型肝炎病毒||流感病毒||麻疹病毒||乙型脑炎病毒||C
某院外科医生在给一位乙型肝炎病毒(HBV)携带者手术时,不慎被手术剪刀割伤手指。为预防乙型肝炎病毒感染,应首先采取的措施是||注射乙型肝炎疫苗||注射抗生素||注射丙种球蛋白||注射HBIg||注射α-干扰素||D
一女性患者因恶心、呕吐、黄疸等症状入院,询问病史发现一月前曾有手术史,术中输血800ml,因此怀疑为输血后肝炎,进行实验室确诊首先应检查的是||抗-HAV||抗-HCV||抗-HDV||抗-HEV||抗-CMV||B
成年男性患者,被确诊为HIV感染者,消瘦衰竭经常发生肺感染,造成免疫低下的机制主要是||神经胶质细胞减少||树突状细胞减少||吞噬细胞被破坏||中和抗体保护作用低||CD4+ T细胞大量被破坏||E
15个月的婴儿出现严重水样腹泻及呕吐,病程持续5天,临床粪便标本检查未见致病菌、寄生虫及虫卵。考虑为何种病原体感染||轮状病毒||肠道病毒E71型||埃可病毒||柯萨奇病毒||单纯疱疹病毒||A
一个4岁女孩轻微发热,口咽部疼痛,口腔黏膜、牙龈、咽部、嘴唇,以及手和脚后跟边缘有无数水疱状病变。小泡不含巨细胞或异常细菌。患者一周后自愈。患者最可能感染的病原体是||单纯疱疹病毒||麻疹病毒||水痘-带状疱疹病毒||肠道病毒E71型||立克次体||D
主要经消化道传播的病原体是||HIV||HBV||HAV||EBV||HPV||C
最易形成慢发病毒感染的病原体是||HIV||HBV||HAV||EBV||HPV||A
最易形成潜伏感染的病原体是||HIV||HBV||HAV||EBV||HPV||D
最易形成慢性感染的病原体是||HIV||HBV||HAV||EBV||HPV||B
腺病毒形成的包涵体是||核内嗜酸性||核内嗜碱性||胞浆嗜酸性||胞浆嗜碱性||核内及胞浆嗜酸性||B
狂犬病毒形成的包涵体是||核内嗜酸性||核内嗜碱性||胞浆嗜酸性||胞浆嗜碱性||核内及胞浆嗜酸性||C
麻疹病毒形成的包涵体是||核内嗜酸性||核内嗜碱性||胞浆嗜酸性||胞浆嗜碱性||核内及胞浆嗜酸性||E
疱疹病毒形成的包涵体是||核内嗜酸性||核内嗜碱性||胞浆嗜酸性||胞浆嗜碱性||核内及胞浆嗜酸性||A
巨细胞病毒形成的包涵体是||核内嗜酸性||核内嗜碱性||胞浆嗜酸性||胞浆嗜碱性||核内及胞浆嗜酸性||E

# 第二十四章 病毒感染的检查方法与防治原则
病毒标本送检的要求是||暖箱保存||室温保存||加入防腐剂||常温速送||含抗生素的50%甘油缓冲盐水液冷藏速送||E
不能用于培养病毒的是||原代细胞||肿瘤细胞||人胚肺成纤维细胞||传代细胞||营养琼脂培养基||E
病毒凝集红细胞(血凝试验)的机制是||红细胞表面抗原和血凝素抗体结合||红细胞表面受体与病毒表面血凝素结合||红细胞表面病毒抗原与相应抗体结合||病毒与结合在红细胞表面的抗体结合||红细胞上的血凝素与病毒结合||B
在可疑病犬大脑海马回中观察内基小体||可确诊为狂犬病病毒感染||可诊断是否有病毒特异性抗体产生||必须在电子显微镜下观察||是衡量病毒毒力强弱的标准||是测定病毒数量的指标||A
细胞病变效应不包括||细胞圆缩、脱落||细胞融合||细胞裂解||干扰现象||形成包涵体||D
检测病毒抗体的方法有||酶联免疫吸附试验、PCR、免疫电镜||中和试验、补体结合试验、血凝试验||中和试验、补体结合试验、血凝抑制试验||血凝试验、中和试验、免疫电泳技术||酶联免疫吸附试验、凝胶免疫扩散试验、基因测序||C
分离流感病毒的最常用方法是||动物接种||半固体培养基培养||鸡胚接种||血平板培养||细胞培养||C
